Title,Year,Rating,Director,Actors,URL
Jodaeiye Nader az Simin,2011,8.2,Asghar Farhadi,"Payman Maadi, Leila Hatami",https://www.imdb.com/title/tt1832382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_110
Rashômon,1950,8.2,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô",https://www.imdb.com/title/tt0042876/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_111
Indiana Jones and the Last Crusade,1989,8.2,Steven Spielberg,"Harrison Ford, Sean Connery",https://www.imdb.com/title/tt0097576/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_112
Up,2009,8.2,Pete Docter,"Edward Asner, Jordan Nagai",https://www.imdb.com/title/tt1049413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_113
Yôjinbô,1961,8.2,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno",https://www.imdb.com/title/tt0055630/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_114
All About Eve,1950,8.2,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter",https://www.imdb.com/title/tt0042192/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_115
Batman Begins,2005,8.2,Christopher Nolan,"Christian Bale, Michael Caine",https://www.imdb.com/title/tt0372784/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_116
Some Like It Hot,1959,8.2,Billy Wilder,"Marilyn Monroe, Tony Curtis",https://www.imdb.com/title/tt0053291/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_117
Unforgiven,1992,8.2,Clint Eastwood,"Clint Eastwood, Gene Hackman",https://www.imdb.com/title/tt0105695/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_118
The Treasure of the Sierra Madre,1948,8.2,John Huston,"Humphrey Bogart, Walter Huston",https://www.imdb.com/title/tt0040897/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_119
